# timestamp tx ty tz qx qy qz qw
1.54632074053333e+09 3.873388e-03 -7.0971981e-02 -2.9229319e-02 -1.1814073e-02 -1.589861e-03 1.262603e-03 9.99928176e-01
1.546320740732398e+09 -4.11671e-04 -1.0404598e-01 -4.7501218e-02 -1.4711852e-02 -1.364392e-03 2.117199e-03 9.99888659e-01
1.54632074083252e+09 4.38783e-03 -1.23868436e-01 -5.4192796e-02 -1.5207793e-02 -4.806021e-03 4.809921e-03 9.998613e-01
1.546320740933157e+09 2.586361e-03 -1.41653985e-01 -6.3168742e-02 -1.3488927e-02 -4.859565e-03 6.119883e-03 9.99878585e-01
1.546320741132457e+09 2.06802e-03 -1.75960198e-01 -8.201094e-02 -8.530789e-03 -5.636651e-03 8.167573e-03 9.99914408e-01
1.546320741232947e+09 1.3091799e-02 -2.39059538e-01 -9.513925e-02 -2.0277403e-02 -1.1105933e-02 1.2467106e-02 9.99655008e-01
1.546320741432778e+09 6.752378e-03 -2.20520616e-01 -1.07679963e-01 -2.656424e-03 -5.324071e-03 1.5210411e-02 9.99866664e-01
1.546320741632952e+09 2.4212252e-02 -2.95365602e-01 -1.20372407e-01 -2.413841e-02 -1.0186006e-02 2.3625981e-02 9.99377489e-01
1.546320741832771e+09 2.7951179e-02 -3.14043611e-01 -1.38098478e-01 -2.9381158e-02 -2.74181e-03 2.8023414e-02 9.99171674e-01
1.546320742032679e+09 4.4697709e-02 -3.50985765e-01 -1.60560384e-01 -4.0151235e-02 -6.29065e-04 3.460953e-02 9.98593867e-01
1.546320742132895e+09 4.8338767e-02 -3.72435004e-01 -1.83212921e-01 -4.2980488e-02 6.330295e-03 3.9956946e-02 9.98256505e-01
1.546320742332821e+09 5.5161081e-02 -3.99802983e-01 -2.10730106e-01 -4.7824387e-02 1.3735968e-02 4.8622355e-02 9.97577131e-01
1.546320742532529e+09 7.4843176e-02 -4.47272927e-01 -2.357869e-01 -5.886643e-02 1.7066937e-02 6.7859076e-02 9.95810568e-01
1.546320742632544e+09 7.8284331e-02 -4.60411221e-01 -2.45722264e-01 -5.8940053e-02 2.2122994e-02 7.8046113e-02 9.9496007e-01
1.546320742832624e+09 8.3158039e-02 -4.78611648e-01 -2.56381422e-01 -6.1298992e-02 2.8220208e-02 8.7350659e-02 9.93889391e-01
1.54632074293293e+09 8.7844633e-02 -4.93990868e-01 -2.67516434e-01 -6.408795e-02 3.5918634e-02 9.6538052e-02 9.92614269e-01
1.546320743132482e+09 1.07948765e-01 -5.2077347e-01 -2.8764683e-01 -6.6580325e-02 4.9033578e-02 1.15596704e-01 9.89848554e-01
1.54632074333285e+09 1.23117134e-01 -5.51670372e-01 -3.07223946e-01 -6.7183286e-02 6.4293645e-02 1.34246081e-01 9.86575305e-01
1.546320743532195e+09 1.42428398e-01 -5.6429863e-01 -3.23536545e-01 -7.6571174e-02 8.4035434e-02 1.51340947e-01 9.8192203e-01
1.546320743632433e+09 1.63721159e-01 -5.8613199e-01 -3.43269974e-01 -9.7363696e-02 9.8816864e-02 1.66987985e-01 9.7615093e-01
1.54632074373287e+09 1.90108627e-01 -6.08108997e-01 -3.45595062e-01 -1.04501717e-01 9.9847421e-02 1.7567502e-01 9.73780334e-01
1.546320743932441e+09 1.88286692e-01 -6.31002665e-01 -3.54251921e-01 -9.7158507e-02 1.18405551e-01 1.91788495e-01 9.69410956e-01
1.546320744032916e+09 2.36467838e-01 -6.87114418e-01 -3.50761682e-01 -1.00466609e-01 1.22039914e-01 2.09800974e-01 9.64881599e-01
1.546320744232533e+09 2.25375593e-01 -6.89475298e-01 -3.52305412e-01 -9.3517132e-02 1.33828089e-01 2.14995101e-01 9.62871611e-01
1.546320744332705e+09 2.79879212e-01 -7.38193631e-01 -3.42213243e-01 -1.02434918e-01 1.37490213e-01 2.28409171e-01 9.58349049e-01
1.546320744532319e+09 2.78368354e-01 -7.71933138e-01 -3.37220013e-01 -9.610378e-02 1.55403629e-01 2.37274796e-01 9.54104006e-01
1.546320744633198e+09 3.46075356e-01 -8.29420865e-01 -3.2432124e-01 -1.02958672e-01 1.54092327e-01 2.51400143e-01 9.49975371e-01
1.546320744832769e+09 3.21699142e-01 -8.42462182e-01 -3.19717199e-01 -9.5245808e-02 1.69463515e-01 2.53704816e-01 9.47546482e-01
1.546320744932876e+09 3.78986984e-01 -8.92580569e-01 -3.03814441e-01 -1.02066338e-01 1.66676402e-01 2.68170655e-01 9.43337679e-01
1.546320745132731e+09 3.99225146e-01 -9.17717159e-01 -2.94001937e-01 -1.05941311e-01 1.6765134e-01 2.74768978e-01 9.40835595e-01
1.546320745233123e+09 3.92682523e-01 -9.54731703e-01 -2.77797461e-01 -1.03991821e-01 1.7980209e-01 2.75472611e-01 9.38601017e-01
1.546320745333439e+09 4.18118894e-01 -9.77888882e-01 -2.66928166e-01 -1.06342025e-01 1.76074475e-01 2.77982891e-01 9.38304186e-01
1.546320745532765e+09 4.36885655e-01 -1.016227961e+00 -2.37552837e-01 -1.02610774e-01 1.80187359e-01 2.75807083e-01 9.38580871e-01
1.546320745732618e+09 4.80976731e-01 -1.044360161e+00 -2.00552046e-01 -9.9373177e-02 1.77284151e-01 2.76452005e-01 9.39292133e-01
1.546320745832619e+09 5.10491192e-01 -1.071045399e+00 -1.59620076e-01 -9.5809922e-02 1.8147777e-01 2.73303568e-01 9.39782679e-01
1.546320746032666e+09 5.26917338e-01 -1.088468313e+00 -1.13281868e-01 -8.5264415e-02 1.98948294e-01 2.77482957e-01 9.36030388e-01
1.546320746232522e+09 5.40319443e-01 -1.099222779e+00 -9.6438915e-02 -8.0260053e-02 2.08567992e-01 2.84591883e-01 9.32236731e-01
1.546320746432552e+09 5.66381037e-01 -1.120310068e+00 -5.8650024e-02 -7.4346371e-02 2.25105509e-01 3.00151557e-01 9.23963845e-01
1.546320746532818e+09 5.81990302e-01 -1.13443172e+00 -3.0377582e-02 -7.8302018e-02 2.31929541e-01 3.13342988e-01 9.17547703e-01
1.546320746632875e+09 5.88460445e-01 -1.139489651e+00 -1.7459393e-02 -8.1312738e-02 2.33352423e-01 3.16516042e-01 9.15834308e-01
1.546320746832495e+09 5.97143173e-01 -1.15156281e+00 4.529938e-03 -8.6621501e-02 2.32580721e-01 3.18215072e-01 9.14954722e-01
1.546320747032717e+09 5.95721781e-01 -1.156819582e+00 3.0881718e-02 -9.4362199e-02 2.33925208e-01 3.13951671e-01 9.15319145e-01
1.546320747232583e+09 5.95653832e-01 -1.162251592e+00 4.0087253e-02 -9.7774483e-02 2.34504342e-01 3.13166738e-01 9.15081739e-01
1.54632074733267e+09 5.98463297e-01 -1.172923803e+00 6.026724e-02 -1.00727774e-01 2.37544909e-01 3.08815867e-01 9.15455699e-01
1.546320747533152e+09 5.95219254e-01 -1.187562466e+00 8.2486644e-02 -1.0089419e-01 2.39188731e-01 3.0862838e-01 9.15072501e-01
1.546320747732411e+09 5.9286654e-01 -1.201312304e+00 1.0957548e-01 -9.866666e-02 2.37680212e-01 3.09099346e-01 9.15549397e-01
1.546320747832525e+09 5.85885167e-01 -1.221882343e+00 1.32855922e-01 -9.7962774e-02 2.36680806e-01 3.12705368e-01 9.14658904e-01
1.546320748032617e+09 5.76130331e-01 -1.242386222e+00 1.55670851e-01 -9.7252436e-02 2.34733537e-01 3.14297885e-01 9.14690673e-01
1.546320748233156e+09 5.69706082e-01 -1.257559538e+00 1.63993299e-01 -9.8900497e-02 2.34302059e-01 3.15859109e-01 9.1408664e-01
1.546320748432401e+09 5.65553665e-01 -1.271900654e+00 1.71991944e-01 -9.9767044e-02 2.33238235e-01 3.17509711e-01 9.13692594e-01
1.546320748533225e+09 5.57896137e-01 -1.301988363e+00 1.86883599e-01 -9.8823227e-02 2.32873052e-01 3.1799233e-01 9.13720429e-01
1.546320748732644e+09 5.55388033e-01 -1.320046306e+00 1.9279097e-01 -9.8856173e-02 2.33890742e-01 3.17730308e-01 9.13548052e-01
1.546320748833194e+09 5.52819014e-01 -1.341299653e+00 1.96895346e-01 -9.9059902e-02 2.34425157e-01 3.18822235e-01 9.13008451e-01
1.546320749032355e+09 5.47445536e-01 -1.355693936e+00 2.03473881e-01 -9.606076e-02 2.32404202e-01 3.21133584e-01 9.13035512e-01
1.546320749132558e+09 5.37810326e-01 -1.382041097e+00 2.16958612e-01 -9.825711e-02 2.33609378e-01 3.2167086e-01 9.12304878e-01
1.54632074923304e+09 5.34085274e-01 -1.389122009e+00 2.24936455e-01 -9.8829262e-02 2.34646037e-01 3.20471048e-01 9.12399292e-01
1.546320749432599e+09 5.29515803e-01 -1.394551992e+00 2.32659847e-01 -9.8944038e-02 2.3603259e-01 3.18038672e-01 9.12880123e-01
1.546320749632621e+09 5.19049406e-01 -1.405252695e+00 2.48182759e-01 -1.00717098e-01 2.39536643e-01 3.13911021e-01 9.13202167e-01
1.546320749832637e+09 5.07593751e-01 -1.418276906e+00 2.62385041e-01 -1.03168994e-01 2.41092071e-01 3.1208685e-01 9.1314435e-01
1.546320749932892e+09 4.95220214e-01 -1.43201077e+00 2.76820004e-01 -1.05942048e-01 2.44424343e-01 3.0872795e-01 9.13082719e-01
1.546320750032971e+09 4.80830073e-01 -1.448671699e+00 2.91542917e-01 -1.04054324e-01 2.46396333e-01 3.06153953e-01 9.13636327e-01
1.54632075023318e+09 4.71908033e-01 -1.459061503e+00 2.99007714e-01 -1.03602998e-01 2.47167781e-01 3.05484891e-01 9.13703263e-01
1.546320750432367e+09 4.49432671e-01 -1.482055664e+00 3.14357668e-01 -1.03973806e-01 2.46853843e-01 3.06729943e-01 9.13328767e-01
1.546320750532448e+09 4.37692553e-01 -1.489425182e+00 3.22253078e-01 -1.05038337e-01 2.46429577e-01 3.06125849e-01 9.13524151e-01
1.546320750632725e+09 4.12014127e-01 -1.512001634e+00 3.36177111e-01 -1.10545844e-01 2.48273551e-01 3.04861844e-01 9.12797451e-01
1.54632075073278e+09 3.98334295e-01 -1.523678303e+00 3.44794065e-01 -1.12306014e-01 2.49745071e-01 3.03800821e-01 9.12534893e-01
1.546320750932345e+09 3.70031029e-01 -1.5459162e+00 3.6247927e-01 -1.11651011e-01 2.51361549e-01 3.01743269e-01 9.12854075e-01
1.546320751032939e+09 3.38094443e-01 -1.570530653e+00 3.84737968e-01 -1.12172231e-01 2.56107897e-01 2.98307359e-01 9.126001e-01
1.546320751232993e+09 2.98357427e-01 -1.603184462e+00 4.08870131e-01 -1.11469604e-01 2.57256418e-01 3.00575137e-01 9.11618531e-01
1.546320751432519e+09 2.80351758e-01 -1.614297748e+00 4.19849485e-01 -1.1059393e-01 2.55797148e-01 3.00831616e-01 9.12051082e-01
1.54632075153255e+09 2.34514654e-01 -1.647943854e+00 4.45889473e-01 -1.09885782e-01 2.56293148e-01 3.02987903e-01 9.11283374e-01
1.546320751732494e+09 2.08657503e-01 -1.663686514e+00 4.62697804e-01 -1.09199151e-01 2.56651342e-01 3.04363966e-01 9.10806358e-01
1.546320751932678e+09 1.87119111e-01 -1.67789495e+00 4.76679623e-01 -1.08481511e-01 2.5617677e-01 3.04113746e-01 9.11109269e-01
1.546320752033047e+09 1.37928098e-01 -1.705897093e+00 5.06542742e-01 -1.09649077e-01 2.65902281e-01 3.14103365e-01 9.04771924e-01
1.546320752232373e+09 1.14041924e-01 -1.720363617e+00 5.1851815e-01 -1.11545414e-01 2.75145561e-01 3.22149754e-01 8.98928344e-01
1.546320752332774e+09 8.9779735e-02 -1.727816343e+00 5.36214948e-01 -1.12093709e-01 2.79921085e-01 3.25853199e-01 8.96046281e-01
1.546320752433158e+09 3.0144155e-02 -1.752582312e+00 5.70036829e-01 -1.22306108e-01 2.79497653e-01 3.2966888e-01 8.93443227e-01
1.546320752632529e+09 -3.055495e-02 -1.77768755e+00 6.11159027e-01 -1.29339695e-01 2.75714874e-01 3.36568445e-01 8.91052425e-01
1.546320752732866e+09 -8.4946573e-02 -1.812648654e+00 6.54568791e-01 -1.30868852e-01 2.74716556e-01 3.41677904e-01 8.89190853e-01
1.546320752832912e+09 -1.21496797e-01 -1.832215071e+00 7.065714e-01 -1.26425743e-01 2.75069535e-01 3.42175484e-01 8.89533222e-01
1.546320753033032e+09 -1.39766216e-01 -1.848604918e+00 7.30645418e-01 -1.255375e-01 2.7687487e-01 3.41825724e-01 8.89233291e-01
1.546320753133392e+09 -1.68146312e-01 -1.889775872e+00 7.73912847e-01 -1.23899892e-01 2.80382633e-01 3.42184275e-01 8.88225377e-01
1.546320753332347e+09 -1.92821324e-01 -1.924646974e+00 8.23992968e-01 -1.20371796e-01 2.82827556e-01 3.42877001e-01 8.87668073e-01
1.546320753432597e+09 -2.0075506e-01 -1.934223175e+00 8.78765523e-01 -1.17900848e-01 2.82153636e-01 3.41948807e-01 8.88571799e-01
1.546320753532832e+09 -2.06932724e-01 -1.948635936e+00 9.01874244e-01 -1.18841656e-01 2.82650441e-01 3.41878593e-01 8.88315558e-01
1.546320753633252e+09 -2.1725446e-01 -1.979092121e+00 9.47938621e-01 -1.19010709e-01 2.86683917e-01 3.38591516e-01 8.88259351e-01
1.546320753832769e+09 -2.18067825e-01 -1.999493003e+00 9.68186855e-01 -1.18507721e-01 2.87523329e-01 3.38671714e-01 8.88024688e-01
1.546320754032832e+09 -2.14508414e-01 -2.008421421e+00 9.93658364e-01 -1.12605959e-01 2.89233178e-01 3.3713007e-01 8.88823628e-01
1.546320754133693e+09 -2.11619556e-01 -2.036053181e+00 1.033429384e+00 -1.08375907e-01 2.9290992e-01 3.33120018e-01 8.89656961e-01
1.546320754332766e+09 -2.10713327e-01 -2.049238443e+00 1.054311275e+00 -1.07008189e-01 2.94608027e-01 3.3182463e-01 8.89745951e-01
1.546320754532569e+09 -2.06869245e-01 -2.078463554e+00 1.093411088e+00 -9.9202938e-02 2.97062755e-01 3.31254005e-01 8.90046835e-01
1.546320754632684e+09 -2.07044542e-01 -2.099824667e+00 1.124811888e+00 -1.01869486e-01 3.00843209e-01 3.26304615e-01 8.90304089e-01
1.546320754832975e+09 -2.11681843e-01 -2.119900703e+00 1.148947239e+00 -1.13131665e-01 3.06978017e-01 3.17379743e-01 8.90076339e-01
1.546320755032523e+09 -2.19713926e-01 -2.138543844e+00 1.172639012e+00 -1.19881414e-01 3.11240584e-01 3.11572492e-01 8.8976419e-01
1.546320755232986e+09 -2.26353645e-01 -2.147511005e+00 1.1887393e+00 -1.21596433e-01 3.12045008e-01 3.10661644e-01 8.89568269e-01
1.546320755432555e+09 -2.47146845e-01 -2.172244072e+00 1.223896742e+00 -1.26226768e-01 3.12811464e-01 3.11216414e-01 8.88459384e-01
1.546320755532599e+09 -2.58172691e-01 -2.18412447e+00 1.240249276e+00 -1.27733737e-01 3.12619418e-01 3.1160304e-01 8.88176143e-01
1.546320755632801e+09 -2.69900918e-01 -2.193930864e+00 1.264579415e+00 -1.26948357e-01 3.12577069e-01 3.12835783e-01 8.87870193e-01
1.546320755733209e+09 -2.95144081e-01 -2.221661806e+00 1.306115985e+00 -1.26468852e-01 3.15957576e-01 3.11706811e-01 8.87138903e-01
1.546320755933229e+09 -3.25346291e-01 -2.25226593e+00 1.351192474e+00 -1.28310367e-01 3.22212845e-01 3.07229012e-01 8.86186123e-01
1.54632075613286e+09 -3.44328165e-01 -2.268213034e+00 1.375461459e+00 -1.30223915e-01 3.25321764e-01 3.04912001e-01 8.85571122e-01
1.54632075633258e+09 -3.82786393e-01 -2.301660299e+00 1.42482841e+00 -1.27747729e-01 3.23993295e-01 3.07839304e-01 8.85406017e-01
1.546320756432916e+09 -4.28144217e-01 -2.33784914e+00 1.483773112e+00 -1.25642061e-01 3.25368404e-01 3.09892774e-01 8.84486318e-01
1.546320756632556e+09 -4.49955463e-01 -2.351765156e+00 1.517683744e+00 -1.23836927e-01 3.25976312e-01 3.10684472e-01 8.84239316e-01
1.546320756732691e+09 -5.00913143e-01 -2.392814636e+00 1.571681976e+00 -1.23508327e-01 3.27029079e-01 3.11736852e-01 8.83525789e-01
1.546320756932685e+09 -5.30777335e-01 -2.412523746e+00 1.606361151e+00 -1.2128441e-01 3.26261729e-01 3.15431356e-01 8.82806003e-01
